City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,ciudad lazaro cardenas,17.9583,-102.2,26.07,75,100,3.47,MX,2024-06-07
336,dudinka,69.4058,86.1778,-1.29,96,99,8.05,RU,2024-06-07
337,przysucha,51.3586,20.6289,13.68,80,100,1.71,PL,2024-06-07
338,lautoka,-17.6167,177.4667,29.92,45,75,3.6,FJ,2024-06-07
339,fisterra,42.9049,-9.2629,15.42,91,97,6.12,ES,2024-06-07
340,vadso,70.0744,29.7487,6.49,87,100,11.32,NO,2024-06-07
341,galle,6.0367,80.217,27.7,80,100,6.0,LK,2024-06-07
342,san juan de uraba,8.7592,-76.5297,26.28,86,100,0.78,CO,2024-06-07
343,tarawa,1.419,172.984,26.05,94,75,1.03,KI,2024-06-07
344,vilyuysk,63.7553,121.6247,21.11,46,100,3.13,RU,2024-06-07
